datetime,hour,day_of_week,month,is_weekend,is_business_hours,peak_hours_flag,temperature_c,humidity_pct,occupancy_estimate,energy_consumption_kwh
2024-01-01 00:00:00,0,0,1,0,0,0,7.7,67.3,11.8,59.65
2024-01-01 01:00:00,1,0,1,0,0,0,5.9,74.3,11.6,56.81
2024-01-01 02:00:00,2,0,1,0,0,0,7.1,75.0,11.2,65.45
2024-01-01 03:00:00,3,0,1,0,0,0,8.9,70.1,5.3,54.62
2024-01-01 04:00:00,4,0,1,0,0,0,6.4,75.7,11.3,61.29
2024-01-01 05:00:00,5,0,1,0,0,0,7.4,69.5,11.0,66.58
2024-01-01 06:00:00,6,0,1,0,0,0,12.0,60.6,7.0,52.32
2024-01-01 07:00:00,7,0,1,0,0,0,12.1,67.3,7.2,56.7
2024-01-01 08:00:00,8,0,1,0,1,0,11.6,69.6,58.8,91.19
2024-01-01 09:00:00,9,0,1,0,1,0,15.1,65.8,64.7,95.61
2024-01-01 10:00:00,10,0,1,0,1,1,14.8,62.5,83.9,122.8
2024-01-01 11:00:00,11,0,1,0,1,1,16.2,58.9,80.3,129.26
2024-01-01 12:00:00,12,0,1,0,1,1,18.5,62.5,82.1,126.06
2024-01-01 13:00:00,13,0,1,0,1,1,15.2,70.5,66.6,115.63
2024-01-01 14:00:00,14,0,1,0,1,1,15.8,71.5,79.8,122.55
2024-01-01 15:00:00,15,0,1,0,1,1,17.7,69.9,88.0,138.09
2024-01-01 16:00:00,16,0,1,0,1,1,16.2,62.9,76.8,120.87
2024-01-01 17:00:00,17,0,1,0,1,0,17.6,60.6,43.3,79.15
2024-01-01 18:00:00,18,0,1,0,1,0,14.0,69.7,42.9,78.15
2024-01-01 19:00:00,19,0,1,0,0,0,11.5,72.0,43.2,81.08
2024-01-01 20:00:00,20,0,1,0,0,0,15.0,68.6,9.9,51.28
2024-01-01 21:00:00,21,0,1,0,0,0,10.3,62.2,4.9,56.22
2024-01-01 22:00:00,22,0,1,0,0,0,9.3,67.5,7.5,49.65
2024-01-01 23:00:00,23,0,1,0,0,0,5.2,73.7,5.1,54.05
2024-01-02 00:00:00,0,1,1,0,0,0,5.7,75.5,11.9,61.41
2024-01-02 01:00:00,1,1,1,0,0,0,6.3,76.2,6.7,61.21
2024-01-02 02:00:00,2,1,1,0,0,0,3.8,75.4,8.7,58.18
2024-01-02 03:00:00,3,1,1,0,0,0,6.7,74.1,10.2,61.03
2024-01-02 04:00:00,4,1,1,0,0,0,5.6,73.9,11.4,60.95
2024-01-02 05:00:00,5,1,1,0,0,0,7.2,75.2,10.0,62.26
2024-01-02 06:00:00,6,1,1,0,0,0,8.0,73.2,9.4,59.55
2024-01-02 07:00:00,7,1,1,0,0,0,14.0,68.0,7.7,56.7
2024-01-02 08:00:00,8,1,1,0,1,0,12.3,67.8,63.2,94.55
2024-01-02 09:00:00,9,1,1,0,1,0,12.1,69.4,47.8,81.75
2024-01-02 10:00:00,10,1,1,0,1,1,17.1,67.5,93.3,132.14
2024-01-02 11:00:00,11,1,1,0,1,1,14.7,68.3,88.2,123.59
2024-01-02 12:00:00,12,1,1,0,1,1,18.4,66.1,80.6,121.81
2024-01-02 13:00:00,13,1,1,0,1,1,15.1,72.3,73.8,112.37
2024-01-02 14:00:00,14,1,1,0,1,1,16.5,67.0,83.3,122.57
2024-01-02 15:00:00,15,1,1,0,1,1,19.0,61.6,89.8,125.36
2024-01-02 16:00:00,16,1,1,0,1,1,19.3,67.5,89.6,127.76
2024-01-02 17:00:00,17,1,1,0,1,0,17.3,59.9,41.3,74.07
2024-01-02 18:00:00,18,1,1,0,1,0,15.4,62.4,26.2,72.33
2024-01-02 19:00:00,19,1,1,0,0,0,13.5,69.4,29.9,65.53
2024-01-02 20:00:00,20,1,1,0,0,0,9.7,72.8,11.0,57.27
2024-01-02 21:00:00,21,1,1,0,0,0,9.4,65.9,11.2,61.1
2024-01-02 22:00:00,22,1,1,0,0,0,8.3,70.2,7.7,62.11
2024-01-02 23:00:00,23,1,1,0,0,0,9.7,68.3,7.5,55.41
2024-01-03 00:00:00,0,2,1,0,0,0,7.3,70.4,5.4,55.62
2024-01-03 01:00:00,1,2,1,0,0,0,2.8,79.3,11.7,60.15
2024-01-03 02:00:00,2,2,1,0,0,0,6.4,75.8,5.7,56.6
2024-01-03 03:00:00,3,2,1,0,0,0,5.3,73.7,5.5,52.88
2024-01-03 04:00:00,4,2,1,0,0,0,5.5,71.5,9.3,57.15
2024-01-03 05:00:00,5,2,1,0,0,0,8.8,65.9,5.9,57.65
2024-01-03 06:00:00,6,2,1,0,0,0,10.9,75.6,11.5,57.08
2024-01-03 07:00:00,7,2,1,0,0,0,12.3,71.3,4.1,55.13
2024-01-03 08:00:00,8,2,1,0,1,0,10.8,67.1,45.2,83.68
2024-01-03 09:00:00,9,2,1,0,1,0,13.4,71.0,60.1,88.51
2024-01-03 10:00:00,10,2,1,0,1,1,16.1,65.9,87.3,130.45
2024-01-03 11:00:00,11,2,1,0,1,1,18.6,63.3,82.5,119.13
2024-01-03 12:00:00,12,2,1,0,1,1,17.1,67.3,87.4,128.21
2024-01-03 13:00:00,13,2,1,0,1,1,18.2,61.8,66.2,113.74
2024-01-03 14:00:00,14,2,1,0,1,1,16.8,64.4,90.1,128.51
2024-01-03 15:00:00,15,2,1,0,1,1,16.4,66.5,75.2,117.6
2024-01-03 16:00:00,16,2,1,0,1,1,19.4,61.9,91.6,121.23
2024-01-03 17:00:00,17,2,1,0,1,0,19.3,66.7,37.5,75.52
2024-01-03 18:00:00,18,2,1,0,1,0,15.4,74.2,28.0,67.48
2024-01-03 19:00:00,19,2,1,0,0,0,15.8,63.4,25.9,65.15
2024-01-03 20:00:00,20,2,1,0,0,0,12.9,61.8,8.3,55.72
2024-01-03 21:00:00,21,2,1,0,0,0,9.5,62.8,5.9,51.02
2024-01-03 22:00:00,22,2,1,0,0,0,9.7,70.1,6.4,49.66
2024-01-03 23:00:00,23,2,1,0,0,0,10.5,67.5,6.0,61.32
2024-01-04 00:00:00,0,3,1,0,0,0,6.6,73.7,9.2,59.24
2024-01-04 01:00:00,1,3,1,0,0,0,8.8,71.9,8.4,57.72
2024-01-04 02:00:00,2,3,1,0,0,0,1.0,70.4,4.6,55.32
2024-01-04 03:00:00,3,3,1,0,0,0,7.5,65.0,8.2,60.53
